NOC,Total_Entries,Unique_Athletes,Total_Medals,Gold,Silver,Bronze,Median_Age,Medal_Rate_pct
USA,15064,7970,5002,2472,1333,1197,25.0,33.2
URS,4622,2476,2063,832,635,596,24.0,44.63
GBR,10917,5646,1985,636,729,620,25.0,18.18
GER,7622,3981,1779,592,538,649,26.0,23.34
FRA,10633,5353,1627,465,575,587,25.0,15.3
ITA,8217,3999,1446,518,474,454,25.0,17.6
AUS,7092,3582,1304,342,452,510,24.0,18.39
HUN,6129,2567,1123,432,328,363,25.0,18.32
SWE,6076,2893,1108,354,396,358,25.0,18.24
NED,5164,2731,918,245,302,371,25.0,17.78
CHN,4323,2353,909,334,317,258,23.0,21.03
RUS,3583,1813,905,296,278,331,25.0,25.26
JPN,6336,3273,850,230,287,333,24.0,13.42
GDR,2104,1129,843,339,277,227,23.0,40.07
CAN,6860,3543,741,158,239,344,24.0,10.8
ROU,3731,1518,651,161,200,290,24.0,17.45
DEN,3458,1865,592,179,236,177,26.0,17.12
NOR,2598,1406,590,227,196,167,26.0,22.71
KOR,3692,2138,552,171,206,175,23.0,14.95
POL,4865,2459,538,111,185,242,25.0,11.06
FRG,2558,1373,504,144,172,188,24.0,19.7
ESP,4907,2506,487,109,243,135,24.0,9.92
BRA,3784,2024,475,109,175,191,25.0,12.55
FIN,3558,1632,474,132,125,217,26.0,13.32
BEL,3616,1969,455,96,193,166,25.0,12.58
SUI,4003,1886,416,99,178,139,26.0,10.39
CUB,2479,1283,409,164,129,116,24.0,16.5
YUG,2046,1035,383,130,161,92,24.0,18.72
BUL,2941,1323,336,53,142,141,24.0,11.42
TCH,3369,1619,330,79,144,107,25.0,9.8
ARG,2913,1712,274,91,92,91,25.0,9.41
GRE,2993,1643,255,62,109,84,25.0,8.52
NZL,2142,1238,227,90,55,82,25.0,10.6
EUN,650,475,220,92,61,67,24.0,33.85
IND,1378,871,190,131,19,40,25.0,13.79
UKR,1979,936,188,42,51,95,24.0,9.5
AUT,2951,1488,170,29,88,53,26.0,5.76
JAM,817,359,157,38,75,44,24.0,19.22
CRO,707,381,138,54,48,36,25.0,19.52
RSA,1686,952,131,32,47,52,24.0,7.77
BLR,1246,603,124,18,40,66,25.0,9.95
PAK,560,361,121,42,45,34,25.0,21.61
MEX,2810,1518,110,30,26,54,23.0,3.91
KEN,768,514,106,34,41,31,25.0,13.8
NGR,882,565,99,23,30,46,24.0,11.22
TUR,1178,747,95,40,27,28,25.0,8.06
SRB,360,214,85,15,29,41,26.0,23.61
CZE,954,470,71,15,24,32,25.0,7.44
KAZ,831,502,70,19,22,29,25.0,8.42
IRI,712,502,68,18,21,29,25.0,9.55
PRK,682,343,65,16,15,34,22.0,9.53
SCG,300,193,64,12,26,26,25.0,21.33
URU,575,365,63,31,2,30,24.0,10.96
LTU,538,294,61,6,7,48,25.0,11.34
ETH,376,231,53,22,9,22,24.0,14.1
TPE,1000,522,49,3,28,18,23.0,4.9
AZE,265,180,44,7,12,25,24.0,16.6
EST,451,260,43,9,10,24,25.0,9.53
SVK,509,259,42,13,17,12,26.0,8.25
INA,412,275,41,11,17,13,24.0,9.95
POR,1501,718,41,4,11,26,26.0,2.73
BAH,374,162,40,14,11,15,24.0,10.7
IRL,1282,775,35,9,13,13,26.0,2.73
UZB,464,274,33,9,7,17,24.0,7.11
TTO,368,163,32,7,8,17,24.0,8.7
GEO,247,152,32,8,6,18,25.0,12.96
CHI,752,475,32,3,9,20,25.0,4.26
THA,741,459,30,9,8,13,24.0,4.05
SLO,507,262,30,6,9,15,25.0,5.92
ANZ,86,53,29,20,4,5,24.0,33.72
COL,1067,616,28,5,9,14,24.0,2.62
EGY,1619,999,27,7,8,12,24.0,1.67
MGL,453,253,26,2,10,14,25.0,5.74
MAR,632,436,23,6,5,12,24.0,3.64
GHA,358,244,23,0,1,22,23.0,6.42
ZIM,309,195,22,17,4,1,24.0,7.12
CMR,310,226,22,20,1,1,24.0,7.1
LAT,453,253,20,3,11,6,25.0,4.42
ISL,426,223,17,0,15,2,24.0,3.99
ALG,539,366,17,5,4,8,24.0,3.15
PAR,134,103,17,0,17,0,22.0,12.69
MAS,530,301,16,0,11,5,23.0,3.02
ARM,174,118,16,2,5,9,24.0,9.2
PER,522,350,15,1,14,0,23.0,2.87
VEN,918,544,15,2,3,10,24.0,1.63
MNE,89,52,14,0,14,0,27.0,15.73
FIJ,228,126,13,13,0,0,23.0,5.7
TUN,561,416,13,3,3,7,24.0,2.32
BOH,153,66,12,0,1,11,25.0,7.84
PHI,686,384,10,0,3,7,23.0,1.46
PUR,890,546,9,1,2,6,23.0,1.01
ISR,638,340,9,1,1,7,24.0,1.41
SGP,349,172,9,1,4,4,22.0,2.58
MDA,191,116,8,0,3,5,25.0,4.19
DOM,277,208,7,3,2,2,24.0,2.53
HAI,106,76,7,1,1,5,25.0,6.6
UGA,260,178,7,2,3,2,23.0,2.69
LUX,970,367,6,4,2,0,25.0,0.62
KSA,230,149,6,0,1,5,24.0,2.61
WIF,20,13,5,0,0,5,23.0,25.0
IOA,93,75,5,1,1,3,24.0,5.38
QAT,192,141,5,0,1,4,23.0,2.6
CRC,240,149,4,1,1,2,23.0,1.67
HKG,673,317,4,1,2,1,23.0,0.59
VIE,154,104,4,1,3,0,23.0,2.6
TJK,60,43,4,1,1,2,25.0,6.67
LIB,238,146,4,0,2,2,24.0,1.68
NAM,77,40,4,0,4,0,27.0,5.19
PAN,139,86,3,1,0,2,23.0,2.16
SYR,156,132,3,1,1,1,23.5,1.92
KGZ,212,122,3,0,1,2,23.0,1.42
CIV,193,124,3,1,1,1,24.0,1.55
BRN,126,90,3,1,1,1,24.0,2.38
MOZ,78,52,2,1,0,1,22.0,2.56
UAR,123,74,2,0,1,1,24.0,1.63
UAE,144,78,2,1,0,1,23.0,1.39
SUR,69,33,2,1,0,1,21.0,2.9
NIG,47,42,2,0,1,1,23.0,4.26
ZAM,183,145,2,0,1,1,23.0,1.09
TAN,161,110,2,0,2,0,25.0,1.24
SRI,146,93,2,0,2,0,25.0,1.37
AFG,126,103,2,0,0,2,25.0,1.59
ECU,277,158,2,1,1,0,24.0,0.72
GRN,54,44,2,1,1,0,22.0,3.7
KUW,284,192,2,0,0,2,22.0,0.7
BDI,39,25,2,1,1,0,24.0,5.13
ISV,239,125,1,0,1,0,23.0,0.42
ERI,43,26,1,0,0,1,23.0,2.33
BAR,219,115,1,0,0,1,23.0,0.46
JOR,80,61,1,1,0,0,24.0,1.25
BER,205,118,1,0,0,1,25.0,0.49
IRQ,232,194,1,0,0,1,25.0,0.43
MRI,144,88,1,0,0,1,22.0,0.69
TGA,45,37,1,0,1,0,24.0,2.22
GAB,63,48,1,0,1,0,23.0,1.59
GUY,102,75,1,0,0,1,24.0,0.98
GUA,410,234,1,0,1,0,23.0,0.24
BOT,90,62,1,0,1,0,24.5,1.11
TOG,56,40,1,0,0,1,23.5,1.79
SEN,375,231,1,0,1,0,25.0,0.27
AHO,74,52,1,0,1,0,24.0,1.35
MON,136,68,1,0,0,1,29.0,0.74
CYP,178,106,1,0,1,0,25.0,0.56
MKD,62,37,1,0,0,1,21.5,1.61
SUD,107,81,1,0,1,0,23.0,0.93
KOS,8,8,1,1,0,0,24.0,12.5
DJI,38,28,1,0,0,1,24.0,2.63
CAF,67,50,0,0,0,0,24.0,0.0
SSD,3,3,0,0,0,0,22.0,0.0
STP,15,13,0,0,0,0,20.0,0.0
TKM,54,41,0,0,0,0,23.5,0.0
BUR,44,32,0,0,0,0,24.5,0.0
CGO,105,74,0,0,0,0,25.0,0.0
COM,19,15,0,0,0,0,22.0,0.0
COK,40,30,0,0,0,0,23.0,0.0
COD,93,69,0,0,0,0,24.0,0.0
CAM,63,45,0,0,0,0,23.0,0.0
CAY,80,38,0,0,0,0,23.5,0.0
CHA,41,27,0,0,0,0,23.0,0.0
SWZ,64,41,0,0,0,0,23.5,0.0
TLS,8,7,0,0,0,0,24.5,0.0
TUV,7,6,0,0,0,0,20.0,0.0
BRU,10,9,0,0,0,0,22.5,0.0
BOL,121,76,0,0,0,0,24.0,0.0
ALB,63,43,0,0,0,0,24.0,0.0
AND,53,33,0,0,0,0,25.0,0.0
YMD,5,5,0,0,0,0,20.0,0.0
YEM,32,28,0,0,0,0,21.0,0.0
YAR,11,10,0,0,0,0,21.0,0.0
ANG,267,163,0,0,0,0,25.0,0.0
VNM,62,39,0,0,0,0,25.0,0.0
VIN,42,28,0,0,0,0,21.0,0.0
ANT,133,70,0,0,0,0,23.0,0.0
ARU,42,32,0,0,0,0,24.5,0.0
VAN,35,25,0,0,0,0,23.0,0.0
ASA,35,27,0,0,0,0,26.0,0.0
BAN,55,38,0,0,0,0,22.0,0.0
UNK,2,2,0,0,0,0,45.0,0.0
BEN,71,54,0,0,0,0,25.0,0.0
BHU,36,21,0,0,0,0,25.0,0.0
BIH,73,45,0,0,0,0,28.0,0.0
CRT,11,8,0,0,0,0,25.0,0.0
BIZ,76,52,0,0,0,0,24.0,0.0
CPV,18,13,0,0,0,0,25.0,0.0
LIE,93,52,0,0,0,0,24.0,0.0
SOM,32,22,0,0,0,0,22.0,0.0
OMA,66,42,0,0,0,0,25.5,0.0
NRU,13,10,0,0,0,0,23.0,0.0
IVB,42,26,0,0,0,0,25.0,0.0
NFL,1,1,0,0,0,0,21.0,0.0
NEP,88,77,0,0,0,0,25.0,0.0
NCA,129,95,0,0,0,0,24.0,0.0
NBO,2,2,0,0,0,0,22.5,0.0
KIR,11,9,0,0,0,0,20.0,0.0
MYA,111,86,0,0,0,0,25.0,0.0
MTN,29,22,0,0,0,0,25.0,0.0
MLT,116,81,0,0,0,0,24.0,0.0
MLI,92,75,0,0,0,0,23.5,0.0
MHL,14,12,0,0,0,0,19.0,0.0
LAO,54,47,0,0,0,0,22.0,0.0
MDV,49,31,0,0,0,0,21.0,0.0
LBR,74,42,0,0,0,0,22.0,0.0
MAW,87,59,0,0,0,0,24.0,0.0
LCA,28,21,0,0,0,0,23.0,0.0
LES,66,51,0,0,0,0,25.0,0.0
MAL,45,40,0,0,0,0,25.0,0.0
HON,186,131,0,0,0,0,21.0,0.0
GUM,111,65,0,0,0,0,22.0,0.0
SOL,27,20,0,0,0,0,23.0,0.0
GUI,73,60,0,0,0,0,23.0,0.0
SMR,144,77,0,0,0,0,24.0,0.0
SLE,114,62,0,0,0,0,22.0,0.0
SKN,42,19,0,0,0,0,24.0,0.0
SEY,111,64,0,0,0,0,23.0,0.0
MAD,117,75,0,0,0,0,24.0,0.0
DMA,18,16,0,0,0,0,24.0,0.0
SAM,63,53,0,0,0,0,25.0,0.0
SAA,93,36,0,0,0,0,22.0,0.0
RWA,56,37,0,0,0,0,24.0,0.0
ESA,218,126,0,0,0,0,21.0,0.0
ROT,12,10,0,0,0,0,24.0,0.0
RHO,12,10,0,0,0,0,23.5,0.0
FSM,26,18,0,0,0,0,23.0,0.0
GAM,56,33,0,0,0,0,22.5,0.0
GBS,21,15,0,0,0,0,26.0,0.0
GEQ,40,26,0,0,0,0,22.0,0.0
PNG,108,61,0,0,0,0,23.0,0.0
PLW,25,21,0,0,0,0,22.0,0.0
PLE,21,20,0,0,0,0,22.0,0.0
LBA,84,68,0,0,0,0,24.0,0.0
