Year,Is_Host,Entries,Medals,Medal_Rate,Group
1896,0,232,95,40.95,All Others
1896,1,148,48,32.43,Host Nation
1900,0,865,369,42.66,All Others
1900,1,1071,235,21.94,Host Nation
1904,0,192,92,47.92,All Others
1904,1,1109,394,35.53,Host Nation
1906,0,1249,356,28.5,All Others
1906,1,484,102,21.07,Host Nation
1908,0,2129,463,21.75,All Others
1908,1,972,368,37.86,Host Nation
1912,0,3326,751,22.58,All Others
1912,1,714,190,26.61,Host Nation
1920,0,3774,1120,29.68,All Others
1920,1,518,188,36.29,Host Nation
1924,0,4597,722,15.71,All Others
1924,1,636,110,17.3,Host Nation
1928,0,4608,677,14.69,All Others
1928,1,384,57,14.84,Host Nation
1932,0,2226,458,20.58,All Others
1932,1,743,189,25.44,Host Nation
1936,0,5925,693,11.7,All Others
1936,1,581,224,38.55,Host Nation
1948,0,5815,791,13.6,All Others
1948,1,590,61,10.34,Host Nation
1952,0,7858,857,10.91,All Others
1952,1,412,40,9.71,Host Nation
1956,0,4715,826,17.52,All Others
1956,1,412,67,16.26,Host Nation
1960,0,7717,823,10.66,All Others
1960,1,402,88,21.89,Host Nation
1964,0,7246,967,13.35,All Others
1964,1,456,62,13.6,Host Nation
1968,0,8142,1048,12.87,All Others
1968,1,446,9,2.02,Host Nation
1972,0,9717,1113,11.45,All Others
1972,1,587,102,17.38,Host Nation
1976,0,8110,1297,15.99,All Others
1976,1,531,23,4.33,Host Nation
1980,0,6531,942,14.42,All Others
1980,1,660,442,66.97,Host Nation
1984,0,8761,1124,12.83,All Others
1984,1,693,352,50.79,Host Nation
1988,0,11486,1505,13.1,All Others
1988,1,551,77,13.97,Host Nation
1992,0,12440,1643,13.21,All Others
1992,1,537,69,12.85,Host Nation
1996,0,12941,1583,12.23,All Others
1996,1,839,259,30.87,Host Nation
2000,0,13033,1821,13.97,All Others
2000,1,788,183,23.22,Host Nation
2004,0,12944,1970,15.22,All Others
2004,1,499,31,6.21,Host Nation
2008,0,12872,1864,14.48,All Others
2008,1,730,184,25.21,Host Nation
2012,0,12236,1815,14.83,All Others
2012,1,684,126,18.42,Host Nation
2016,0,13105,1973,15.06,All Others
2016,1,583,50,8.58,Host Nation
