Sport,Median Age,Median Height (cm),Median Weight (kg)
Swimming,20.0,180.0,72.0
Gymnastics,23.0,167.0,62.0
Boxing,23.0,172.0,63.0
Football,23.0,178.0,73.0
Cycling,24.0,178.0,72.0
Water Polo,25.0,187.0,87.0
Rowing,25.0,188.0,86.0
Judo,25.0,175.0,76.0
Hockey,25.0,176.0,73.0
Wrestling,25.0,172.0,74.0
Canoeing,25.0,180.0,78.0
Basketball,25.0,193.0,89.0
Athletics,25.0,178.0,70.0
Weightlifting,25.0,170.0,75.0
Handball,26.0,184.0,82.0
Fencing,28.0,180.0,75.0
Sailing,29.0,180.0,77.0
Shooting,33.0,176.0,77.0
Equestrianism,34.0,176.0,70.0
Art Competitions,45.0,175.0,76.0
