Sport,Growth_abs,Growth_pct
Athletics,989.0,77.3
Swimming,448.0,90.7
Rugby Sevens,299.0,
Football,227.0,92.3
Tennis,196.0,
Judo,177.0,83.5
Badminton,172.0,
Table Tennis,172.0,
Cycling,154.0,42.9
Canoeing,135.0,69.2
Taekwondo,126.0,
Golf,120.0,
Triathlon,110.0,
Water Polo,105.0,68.6
Hockey,104.0,36.4
Rowing,99.0,22.1
Beach Volleyball,96.0,
Handball,94.0,36.3
Sailing,80.0,26.7
Wrestling,79.0,29.6
Volleyball,75.0,36.1
Weightlifting,69.0,37.1
Basketball,68.0,31.9
Rhythmic Gymnastics,63.0,190.9
Gymnastics,60.0,44.1
Diving,56.0,70.0
Synchronized Swimming,52.0,104.0
Equestrianism,43.0,27.4
Trampolining,32.0,
Modern Pentathlon,20.0,38.5
Archery,19.0,17.4
Softball,0.0,
Baseball,0.0,
Fencing,-17.0,-6.5
Shooting,-70.0,-15.2
Boxing,-71.0,-20.1
