NOC,Bronze,Gold,Silver,Total,Rank
USA,456,906,455,1817,1
GER,364,331,246,941,2
CHN,191,304,288,783,3
RUS,322,295,271,888,4
AUS,345,227,302,874,5
GBR,174,192,173,539,6
FRA,170,148,164,482,7
NED,115,143,181,439,8
CUB,79,141,103,323,9
KOR,134,136,135,405,10
ITA,184,118,165,467,11
HUN,58,111,87,256,12
BRA,129,100,123,352,13
ESP,111,99,175,385,14
EUN,67,92,61,220,15
DEN,53,85,29,167,16
ROU,85,82,63,230,17
JPN,189,79,157,425,18
ARG,61,70,52,183,19
NOR,61,60,33,154,20
CAN,156,58,87,301,21
CRO,36,54,48,138,22
UKR,95,42,51,188,23
POL,58,34,60,152,24
JAM,38,31,56,125,25
NZL,41,28,43,112,26
NGR,40,23,29,92,27
GRE,23,21,32,76,28
KEN,20,20,29,69,29
CMR,0,20,0,20,30
KAZ,29,19,22,70,31
MEX,12,19,14,45,32
SUI,15,19,25,59,33
BLR,66,18,40,124,34
SWE,30,17,120,167,35
ETH,18,17,8,43,36
TUR,18,16,14,48,37
CZE,32,15,24,71,38
RSA,22,15,19,56,39
SRB,41,15,29,85,40
PRK,19,14,10,43,41
IRI,14,14,10,38,42
BUL,39,14,29,82,43
SVK,12,13,17,42,44
FIJ,0,13,0,13,45
SCG,26,12,26,64,46
BAH,13,12,11,36,47
INA,13,11,14,38,48
UZB,17,9,7,33,49
THA,11,9,7,27,50
GEO,18,8,6,32,51
AZE,25,7,12,44,52
SLO,15,6,9,30,53
LTU,48,6,7,61,54
FIN,11,6,12,29,55
AUT,7,6,13,26,56
BEL,14,6,28,48,57
TTO,10,6,6,22,58
IRL,6,5,7,18,59
COL,11,5,6,22,60
ALG,6,5,4,15,61
TCH,1,4,3,8,62
MAR,10,3,4,17,63
CHI,18,3,1,22,64
LAT,5,3,9,17,65
DOM,1,3,2,6,66
TPE,16,3,27,46,67
EST,11,3,4,18,68
TUN,5,2,1,8,69
POR,6,2,5,13,70
MGL,8,2,5,15,71
ZIM,1,2,4,7,72
ARM,9,2,5,16,73
GRN,0,1,1,2,74
BRN,1,1,1,3,75
SYR,1,1,0,2,76
ECU,0,1,1,2,77
SGP,4,1,3,8,78
TJK,2,1,1,4,79
HKG,1,1,2,4,80
IND,9,1,4,14,81
IOA,3,1,1,5,82
PUR,3,1,1,5,83
CRC,2,1,0,3,84
ISR,7,1,1,9,85
JOR,0,1,0,1,86
CIV,1,1,0,2,87
EGY,7,1,3,11,88
PAN,0,1,0,1,89
UAE,1,1,0,2,90
UGA,1,1,0,2,91
KOS,0,1,0,1,92
BDI,0,1,1,2,93
VIE,0,1,3,4,94
VEN,5,1,1,7,95
MOZ,1,1,0,2,96
CYP,0,0,1,1,97
ZAM,0,0,1,1,98
TGA,0,0,1,1,99
BOT,0,0,1,1,100
BAR,1,0,0,1,101
ERI,1,0,0,1,102
TOG,1,0,0,1,103
URU,0,0,1,1,104
MDA,5,0,3,8,105
SUR,1,0,0,1,106
GAB,0,0,1,1,107
MKD,1,0,0,1,108
MNE,0,0,14,14,109
MRI,1,0,0,1,110
NAM,0,0,4,4,111
KUW,2,0,0,2,112
KSA,5,0,1,6,113
NIG,0,0,1,1,114
KGZ,2,0,1,3,115
PAK,16,0,0,16,116
PAR,0,0,17,17,117
PER,0,0,1,1,118
PHI,1,0,2,3,119
ISL,1,0,14,15,120
QAT,4,0,1,5,121
GUA,0,0,1,1,122
MAS,5,0,11,16,123
GHA,20,0,0,20,124
SRI,0,0,1,1,125
SUD,0,0,1,1,126
AFG,2,0,0,2,127
